Ontology ID	OccO Label	Abilities
OCCO:19102903	geneticists	written comprehension| written expression| oral comprehension| inductive reasoning| problem sensitivity| oral expression
OCCO:19102904	biologists	inductive reasoning| written expression| written comprehension| oral expression| oral comprehension| deductive reasoning
OCCO:19103102	range managers	written comprehension| oral comprehension| speech clarity| problem sensitivity| oral expression| deductive reasoning
OCCO:19103103	park naturalists	oral expression| speech clarity| oral comprehension| written comprehension| written expression| speech recognition
OCCO:19103200	foresters	written comprehension| oral expression| oral comprehension| written expression| deductive reasoning| problem sensitivity
OCCO:19104100	epidemiologists	problem sensitivity| written comprehension| oral comprehension| inductive reasoning| deductive reasoning| written expression
OCCO:19104200	"medical scientists, except epidemiologists"	written comprehension| oral comprehension| inductive reasoning| written expression| problem sensitivity| oral expression
OCCO:19201100	astronomers	mathematical reasoning| inductive reasoning| deductive reasoning| written expression| written comprehension| oral expression
OCCO:19201200	physicists	mathematical reasoning| written comprehension| oral comprehension| number facility| inductive reasoning| originality
OCCO:19202100	atmospheric and space scientists	written expression| written comprehension| oral expression| speech clarity| oral comprehension| problem sensitivity
OCCO:19203100	chemists	written comprehension| oral comprehension| inductive reasoning| deductive reasoning| problem sensitivity| near vision
OCCO:19203200	materials scientists	written comprehension| oral expression| problem sensitivity| oral comprehension| deductive reasoning| written expression
OCCO:19204100	"environmental scientists and specialists, including health"	written comprehension| oral comprehension| written expression| problem sensitivity| oral expression| inductive reasoning
OCCO:19204102	environmental restoration planners	oral comprehension| written expression| written comprehension| oral expression| inductive reasoning| deductive reasoning
OCCO:19204103	industrial ecologists	deductive reasoning| written expression| inductive reasoning| written comprehension| problem sensitivity| oral expression
OCCO:19204200	"geoscientists, except hydrologists and geographers"	inductive reasoning| written expression| written comprehension| problem sensitivity| oral expression| oral comprehension
OCCO:19204300	hydrologists	written expression| written comprehension| oral expression| oral comprehension| problem sensitivity| mathematical reasoning
