Ontology ID	OccO Label	Skills
OCCO:17214102	automotive engineers	Critical Thinking|Complex Problem Solving|Judgment and Decision Making|Speaking|Reading Comprehension|Writing
OCCO:17215100	"mining and geological engineers, including mining safety engineers"	Critical Thinking|Writing|Speaking|Reading Comprehension|Judgment and Decision Making|Complex Problem Solving
OCCO:17216100	nuclear engineers	Active Listening|Speaking|Reading Comprehension|Operations Analysis|Critical Thinking|Writing
OCCO:17217100	petroleum engineers	Reading Comprehension|Speaking|Active Listening|Writing|Critical Thinking|Complex Problem Solving
OCCO:17219905	mechatronics engineers	Judgment and Decision Making|Complex Problem Solving|Active Listening|Writing|Speaking|Reading Comprehension
OCCO:17219906	microsystems engineers	Reading Comprehension|Critical Thinking|Active Listening|Complex Problem Solving|Writing|Systems Analysis
OCCO:17219907	photonics engineers	Critical Thinking|Reading Comprehension|Mathematics|Writing|Complex Problem Solving|Active Listening
OCCO:17219908	robotics engineers	Reading Comprehension|Critical Thinking|Quality Control Analysis|Operation Monitoring|Mathematics|Judgment and Decision Making
OCCO:17219909	nanosystems engineers	Speaking|Critical Thinking|Writing|Science|Reading Comprehension|Mathematics
OCCO:17219910	wind energy engineers	Critical Thinking|Reading Comprehension|Mathematics|Judgment and Decision Making|Writing|Systems Analysis
OCCO:17219911	solar energy systems engineers	Reading Comprehension|Writing|Judgment and Decision Making|Critical Thinking|Active Listening|Speaking
OCCO:17301300	mechanical drafters	Active Learning|Speaking|Mathematics|Critical Thinking|Complex Problem Solving|Active Listening
OCCO:17302401	robotics technicians	Troubleshooting|Repairing|Reading Comprehension|Equipment Maintenance|Critical Thinking|Complex Problem Solving
OCCO:17302701	automotive engineering technicians	Reading Comprehension|Speaking|Critical Thinking|Writing|Quality Control Analysis|Operation Monitoring
OCCO:17302901	non-destructive testing specialists	Quality Control Analysis|Reading Comprehension|Critical Thinking|Active Learning|Monitoring|Active Listening
OCCO:17302908	photonics technicians	Reading Comprehension|Operation Monitoring|Quality Control Analysis|Active Listening|Troubleshooting|Monitoring
OCCO:19101100	animal scientists	Science|Writing|Speaking|Reading Comprehension|Critical Thinking|Judgment and Decision Making
OCCO:19101200	food scientists and technologists	Writing|Reading Comprehension|Active Listening|Speaking|Critical Thinking|Active Learning
OCCO:19101300	soil and plant scientists	Science|Reading Comprehension|Speaking|Critical Thinking|Complex Problem Solving|Active Learning
