Ontology ID	LABEL	Entity type	SubClass Of [NAMED]	alternative term	definition	definition source	Reference web link (top ability)	term editor	desposition	role	SubProperty Of
OCCO:53409000	miscellaneous rail transportation worker	Class	rail transportation worker	Miscellaneous Rail Transportation Workers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53409900	"rail transportation worker, all other"	Class	miscellaneous rail transportation worker	"Rail Transportation Workers, All Other"	All rail transportation workers not listed separately.	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53500000	water transportation worker	Class	transportation or material moving occupation	Water Transportation Workers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53501000	sailor or marine oiler (broad)	Class	water transportation worker	Sailors and Marine Oilers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53502000	ship or boat captain or operator	Class	water transportation worker	Ship and Boat Captains and Operators		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53502100	"captain, mate, or pilot of water vessel"	Class	ship or boat captain or operator	"Captains, Mates, and Pilots of Water Vessels"	"Command or supervise operations of ships and water vessels, such as tugboats and ferryboats. Required to hold license issued by U.S. Coast Guard."	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53503000	ship engineer (broad)	Class	water transportation worker	Ship Engineers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53600000	other transportation worker	Class	transportation or material moving occupation	Other Transportation Workers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53601000	bridge or lock tender (broad)	Class	other transportation worker	Bridge and Lock Tenders		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53602000	parking attendant (broad)	Class	other transportation worker	Parking Attendants		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53602100	parking attendant	Class	parking attendant (broad)	Parking Attendants	Park vehicles or issue tickets for customers in a parking lot or garage. May park or tend vehicles in environments such as a car dealership or rental car facility. May collect fee.	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53603000	transportation service attendant	Class	other transportation worker	Transportation Service Attendants		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53603200	aircraft service attendant	Class	transportation service attendant	Aircraft Service Attendants	"Service aircraft with fuel. May de-ice aircraft, refill water and cooling agents, empty sewage tanks, service air and oxygen systems, or clean and polish exterior."	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53604000	traffic technician (broad)	Class	other transportation worker	Traffic Technicians		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53605000	transportation inspector (broad)	Class	other transportation worker	Transportation Inspectors		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53605100	transportation inspector	Class	transportation inspector (broad)	Transportation Inspectors	"Inspect equipment or goods in connection with the safe transport of cargo or people. Includes rail transportation inspectors, such as freight inspectors, rail inspectors, and other inspectors of transportation vehicles not elsewhere classified."	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53606000	passenger attendant (broad)	Class	other transportation worker	Passenger Attendants		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53606100	passenger attendant	Class	passenger attendant (broad)	Passenger Attendants	"Provide services to ensure the safety of passengers aboard ships, buses, trains, or within the station or terminal. Perform duties such as explaining the use of safety equipment, serving meals or beverages, or answering questions related to travel."	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53609000	miscellaneous transportation worker	Class	other transportation worker	Miscellaneous Transportation Workers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53609900	"transportation worker, all other"	Class	miscellaneous transportation worker	"Transportation Workers, All Other"	All transportation workers not listed separately.	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53700000	material moving worker	Class	transportation or material moving occupation	Material Moving Workers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53701000	conveyor operator or tender (broad)	Class	material moving worker	Conveyor Operators and Tenders		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53702000	crane or tower operator (broad)	Class	material moving worker	Crane and Tower Operators		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53703000	dredge operator (broad)	Class	material moving worker	Dredge Operators		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53704000	hoist or winch operator (broad)	Class	material moving worker	Hoist and Winch Operators		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53705000	industrial truck or tractor operator (broad)	Class	material moving worker	Industrial Truck and Tractor Operators		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53706000	laborer or material mover	Class	material moving worker	Laborers and Material Movers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53706500	stocker or order filler	Class	laborer or material mover	Stockers and Order Fillers	"Receive, store, and issue merchandise, materials, equipment, and other items from stockroom, warehouse, or storage yard to fill shelves, racks, tables, or customers' orders. May operate power equipment to fill orders. May mark prices on merchandise and set up sales displays."	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53707000	pumping station operator	Class	material moving worker	Pumping Station Operators		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53708000	refuse or recyclable material collector (broad)	Class	material moving worker	Refuse and Recyclable Material Collectors		https://www.bls.gov/soc/		Sam Smith|Oliver He			
